DATE,LFWA64TTUSM647S
2000-01-01,178204700.0
2000-02-01,178284800.0
2000-03-01,178367900.0
2000-04-01,178536800.0
2000-05-01,178770300.0
2000-06-01,179073100.0
2000-07-01,179372600.0
2000-08-01,179444400.0
2000-09-01,179618600.0
2000-10-01,179813100.0
2000-11-01,179924100.0
2000-12-01,180064000.0
2001-01-01,180348500.0
2001-02-01,180507700.0
2001-03-01,180597500.0
2001-04-01,180853700.0
2001-05-01,181012800.0
2001-06-01,181358100.0
2001-07-01,181602000.0
2001-08-01,181865000.0
2001-09-01,181987200.0
2001-10-01,182250900.0
2001-11-01,182519000.0
2001-12-01,182718800.0
2002-01-01,182669300.0
2002-02-01,182823900.0
2002-03-01,183081600.0
2002-04-01,183315500.0
2002-05-01,183462600.0
2002-06-01,183672200.0
2002-07-01,183870800.0
2002-08-01,184126700.0
2002-09-01,184246500.0
2002-10-01,184457500.0
2002-11-01,184790100.0
2002-12-01,184909000.0
2003-01-01,185657900.0
2003-02-01,185828700.0
2003-03-01,186121600.0
2003-04-01,186476800.0
2003-05-01,186699000.0
2003-06-01,186893000.0
2003-07-01,187168900.0
2003-08-01,187380300.0
2003-09-01,187558100.0
2003-10-01,187716600.0
2003-11-01,187913400.0
2003-12-01,188027800.0
2004-01-01,187568500.0
2004-02-01,187831800.0
2004-03-01,188106500.0
2004-04-01,188337000.0
2004-05-01,188540100.0
2004-06-01,188691100.0
2004-07-01,188782800.0
2004-08-01,189028800.0
2004-09-01,189280700.0
2004-10-01,189472000.0
2004-11-01,189647000.0
2004-12-01,189848300.0
2005-01-01,190032200.0
2005-02-01,190205800.0
2005-03-01,190429000.0
2005-04-01,190492000.0
2005-05-01,190682700.0
2005-06-01,190898800.0
2005-07-01,191054900.0
2005-08-01,191192800.0
2005-09-01,191474900.0
2005-10-01,191700900.0
2005-11-01,191993300.0
2005-12-01,192186100.0
2006-01-01,192324600.0
2006-02-01,192511200.0
2006-03-01,192616400.0
2006-04-01,192790800.0
2006-05-01,192946500.0
2006-06-01,193183900.0
2006-07-01,193412500.0
2006-08-01,193525200.0
2006-09-01,193585700.0
2006-10-01,193711000.0
2006-11-01,193924100.0
2006-12-01,194094700.0
